Maker,Model,Year,Credit Card
Porsche,911,1991,5108755472477016
Subaru,Legacy,1992,5048371187517162
Mercedes-Benz,GL-Class,2007,5048375806309653
Suzuki,Vitara,2002,5108751791091323
Dodge,Caravan,2004,5048371006490484
Audi,A4,2004,5048370839392941
Plymouth,Sundance,1993,5048375073152984
GMC,Envoy,2008,5048378901532211
Mercury,Capri,1985,5108750900425729
Pontiac,Grand Am,1992,5108754026848962
Plymouth,Grand Voyager,1999,5048375691581887
GMC,Sierra 2500,2006,5108757522318737
Volkswagen,Jetta III,1993,5108759368328234
Pontiac,G5,2009,5108756819278455
Mercedes-Benz,E-Class,2003,5048372759275759
Isuzu,VehiCROSS,1999,5048377825849180
Chevrolet,Silverado 3500,2007,5108755775763559
Volvo,850,1994,5048375438579996
Plymouth,Reliant,1981,5048377409454324
Hyundai,Elantra,1999,5108754660157183
Saab,9-5,2006,5048379945589548
Cadillac,STS,2008,5048372791831205
Dodge,Colt,1989,5048373890782786
Saab,9-5,2009,5048379468746483
BMW,545,2005,5048370121733752
Kia,Forte,2012,5048371912052501
Chrysler,Town & Country,1992,5048373282302375
Lincoln,Continental Mark VII,1985,5108751059721082
Isuzu,i-290,2008,5048373884810213
Dodge,Ram 3500,2002,5048378308360794
Land Rover,Range Rover,2012,5108755115207713
Chevrolet,Camaro,1993,5108753400133173
Chevrolet,Corvette,1960,5048372981501329
Lincoln,Navigator,2002,5108751298713403
MINI,Cooper,2008,5048378107693981
Nissan,Armada,2006,5048378546034714
Volkswagen,Golf,1990,5048378715108810
Isuzu,Rodeo Sport,2003,5108751277288658
Volvo,C70,2003,5048372292090590
Volkswagen,Type 2,1987,5048370152729281
Volvo,C30,2009,5048374372081010
Ford,F150,1994,5108752690710138
Mazda,B2500,2001,5048378463959208
Cadillac,STS,2009,5048378438284971
Honda,Prelude,1994,5108758109909120
Acura,Legend,1995,5108759466654523
Acura,RL,2002,5048374957318993
Pontiac,Sunfire,2004,5048375373459964
Ford,E350,2009,5048373934118179
Mercury,Mystique,2000,5108751128057203
Volvo,XC60,2009,5108758825912010
Buick,Regal,2003,5048378385785582
Lexus,RX,1999,5108758332437022
Ford,Thunderbird,1977,5108756556080635
GMC,Sierra 3500,2012,5108750372954339
Mercury,Mountaineer,2003,5108754958484612
Lincoln,Continental,1997,5048371437056169
Mercedes-Benz,CLK-Class,2007,5048371204792251
Jeep,Wrangler,2002,5108751036362034
Pontiac,Firefly,1991,5108759177059103
Infiniti,IPL G,2012,5048373468308303
Volkswagen,Touareg,2009,5108757980547868
Mitsubishi,Outlander,2008,5048378794030778
Chevrolet,Corvette,2000,5048374277471530
Dodge,Ram Van 3500,2002,5048372973713833
Volvo,S60,2005,5048376781316770
Saab,9-3,1999,5108752681783631
Lexus,ES,1998,5108756452659854
Ford,Mustang,2002,5108754039822145
Ford,Taurus,1990,5108758575676674
Chrysler,Concorde,1995,5108757253196989
Toyota,4Runner,1995,5048370104495684
Honda,Insight,2011,5048377049281277
Mitsubishi,Lancer,2007,5108750870630613
Mazda,Millenia,1997,5048370882211162
Audi,A4,2001,5108751362032482
Jaguar,XJ Series,2003,5048372369367244
Subaru,Justy,1994,5048372241074513
Suzuki,SJ,1985,5108753373020530
BMW,5 Series,2005,5048371712539236
BMW,3 Series,1992,5108759982749898
Pontiac,Sunbird,1986,5108755949443070
Kia,Optima,2006,5048375175047512
Toyota,Sienna,2010,5108753275266223
Dodge,Intrepid,2003,5048371988187587
Ford,Escape,2009,5108753924416674
Mercedes-Benz,500SEL,1992,5048372161256306
Ford,F-Series,1990,5108750295150460
Lincoln,Mark VIII,1998,5048377777558227
Mercedes-Benz,E-Class,1998,5048372468703489
Lincoln,Continental,1985,5048373408928848
Lexus,ES,2002,5108753005785765
Audi,Q7,2008,5048375302511182
Scion,xD,2008,5048374484476611
Ford,Crown Victoria,1997,5108759984929647
Ford,Escort,2000,5108752258532791
Kia,Spectra5,2006,5108757306373742
BMW,7 Series,1994,5108752417637465
Ford,F250,1995,5108752717664391
Ford,Club Wagon,1994,5048375011680997
Ford,Ranger,1998,5108755567577126
Ford,Aerostar,1990,5048373073040168
Ford,E150,2007,5108759457526177
Nissan,Maxima,2005,5108753690489236
Ford,Contour,1996,5108753240555890
Bentley,Azure,2010,5108754238094983
Audi,S6,2003,5048372631693872
Aston Martin,Vanquish S,2006,5108758494179594
Chrysler,Concorde,1993,5048374424216663
Maybach,62,2005,5048376157845220
BMW,M3,2008,5108754965887989
Mercedes-Benz,SL-Class,1998,5048378382826132
GMC,2500,1998,5048371265544864
Lexus,ES,1990,5048370572068245
Ford,Aspire,1995,5108750867674343
Dodge,Neon,1999,5048372857368886
Lexus,GS,2008,5048377447253043
Audi,A4,2011,5108756577282574
Porsche,944,1987,5048374603990260
Hyundai,Accent,2011,5108752113484170
Buick,Electra,1985,5108751126006558
Infiniti,QX56,2009,5108751424429296
Chevrolet,Silverado 1500,2001,5048379570835836
Ford,Mustang,1999,5108751676407172
Chevrolet,Caprice,1996,5048372562528436
Suzuki,Sidekick,1989,5048377556660475
Mitsubishi,Truck,1991,5108751487900159
Chevrolet,Monte Carlo,2007,5108755248088014
Jaguar,XK,2009,5108751202458590
GMC,Savana 3500,2012,5108754808982542
Infiniti,G,2010,5048376866267260
Maserati,Spyder,2002,5108758055505591
Hyundai,Excel,1992,5108753881436566
Maserati,Quattroporte,2012,5108759434664323
Isuzu,Space,1994,5108754254482617
Subaru,Tribeca,2007,5048374965872999
Ford,Explorer,2000,5048375062553309
Lincoln,Navigator,2004,5048372977566476
Cadillac,CTS,2010,5108756038624943
Porsche,Cayman,2008,5048376192384417
Mitsubishi,Starion,1988,5108751417124755
Audi,S6,2011,5108759192495282
BMW,3 Series,2006,5108757405021754
Lincoln,Town Car,2000,5108753151436460
Peugeot,207,2006,5108753580492340
Mazda,626,1989,5108753750118618
Toyota,Solara,2003,5108759082411811
Pontiac,Grand Prix,2000,5048376237067696
Cadillac,STS,2009,5108755568797871
Acura,MDX,2006,5108755557445250
Mercedes-Benz,GL-Class,2009,5108757313433224
Mitsubishi,Challenger,1997,5108753896711243
Suzuki,Swift,1989,5048371362638643
GMC,Savana 2500,1997,5108752056892207
Volkswagen,Cabriolet,1985,5108758333460593
Chevrolet,Sportvan G20,1993,5108757449600910
Chrysler,New Yorker,1995,5048377189430106
Mitsubishi,Montero,1996,5048372060390438
Honda,Odyssey,1999,5108757492056465
Toyota,Camry,2005,5108758823634822
Buick,LeSabre,1992,5108757148335206
Volkswagen,Passat,1998,5048378616943323
Nissan,350Z,2007,5048373358100992
Ford,F350,2011,5108757703815345
Porsche,911,1990,5048378075698384
Acura,TSX,2012,5108753605213259
Mitsubishi,Pajero,1999,5048371734202227
Chevrolet,Express 3500,2009,5048370075043455
Volkswagen,Cabriolet,1988,5108750979005238
Mitsubishi,Outlander Sport,2011,5048379738336636
Maserati,GranTurismo,2010,5048378311086535
Aston Martin,V8 Vantage S,2012,5048378614633207
Suzuki,SJ,1989,5048379398938143
Buick,Verano,2012,5048373675286870
Mitsubishi,Eclipse,2005,5048376803646170
Chevrolet,Cobalt,2007,5048373630821472
Dodge,Dakota,2000,5048372852778519
Mitsubishi,Diamante,2004,5108751044136677
Subaru,Impreza,2011,5048370785202623
Chevrolet,Avalanche 2500,2005,5108755019859254
Saab,9-5,2002,5108758243780676
Honda,Accord,2009,5048371158899920
Hyundai,Elantra,2004,5108752313553444
Ford,F-Series,2001,5108758535967387
Hyundai,Santa Fe,2007,5048379569809735
Buick,Regal,1987,5048378825629069
Mazda,B-Series Plus,2000,5108756196820614
Buick,Park Avenue,2002,5048376343642127
Toyota,MR2,1987,5048371527783961
GMC,Sierra Denali,2006,5108757914713982
Buick,Century,1994,5048375484864003
BMW,8 Series,1996,5108753932731171
MINI,Cooper Countryman,2012,5108750349766568
Suzuki,Swift,1996,5048376815224107
Land Rover,Range Rover,1998,5048378815466498
Mazda,Mazda6,2007,5048375696057032
Subaru,Forester,2011,5048374501387452
Chrysler,Sebring,1999,5048373512955653
Hyundai,Accent,2006,5048370562958819
Chevrolet,SSR,2003,5048375139498116
Mercury,Sable,1999,5108753407559487
Honda,del Sol,1997,5048377453627098
Chevrolet,1500,1998,5108753066393806
Mercedes-Benz,C-Class,2006,5048370814120788
Infiniti,G,2007,5048371973428566
Saab,900,1986,5048371775908641
Cadillac,Escalade EXT,2006,5048370502405046
BMW,M Roadster,2007,5108750320866908
Chevrolet,Malibu,2012,5048379423399683
Dodge,Ram 2500 Club,1997,5108754543905436
GMC,Suburban 2500,1998,5048376338220335
Mitsubishi,RVR,1994,5048378607544585
Audi,TT,2006,5048375912055240
Ford,Th!nk,2000,5108753278116490
GMC,Sierra 3500,2003,5108757819864757
Honda,Ridgeline,2007,5108754733096749
Lotus,Esprit,1988,5048370144188091
Mazda,CX-7,2007,5048370237231881
Hyundai,Elantra,1997,5048373085714149
Mitsubishi,Pajero,1995,5048376027611232
Mazda,B-Series Plus,2001,5048372532912348
GMC,3500,1999,5048370720677533
Dodge,Magnum,2005,5048371270424730
Mercury,Topaz,1990,5108754669284319
